"Unique ID","Legal","Address","City","State","Postal Code","SIC2P","SIC2P-Desc","SIC4P","SIC4P-Desc","SIC8P","SIC8P-DESC","SIC2S","SIC2S-Desc","SIC4S","SIC4S-Desc","SIC8S","SIC8S-DESC","NAICS4","NAICS4-DESC","NAICS6","NAICS6-DESC","Company Website","Reference We blink1","Reference We blink2","Reference We blink3","Reference We blink4","Current Company Name","Current Address","Company Name Match Flag","Address Match Flag","Manual SIC Confidence"
"1321280","Sylena Motor Cars","60 Railroad Ave, Unit 206","Hasbrouck HTS","NJ","07604","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321374","Krishna Raj Inc.","7077 Harrison Ave, ","Cincinnati","OH","45247","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321492","EndurElite","526 W Jackson Blvd, ","Spearfish","SD","57783","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116089","Janitors of Atlanta llc.","2385 ryewood ct, ","duluth","GA","30096","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1305818","Referee Inc","44349 Lowtree Ave Suite 114, ","Lancaster","CA","93534","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1315966","Reliance Construction Services, LLC","1546 Dixmont Ave., ","Cincinnati","OH","45207","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320921","Tracy Portrait Studio","2251 W Grant Line Rd, Suite 127","Tracy","CA","95377","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321247","Richard S. Altman, P.C.","151 Broadway, ","Hawthorne","NY","10532","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321311","Arts Watch an jewelry","4730 Village Plaza Loop, ","Eugene","OR","97401","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321322","Ryan Chylinski","6100 Vreeland Rd, ","Ypsilanti","MI","48198","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321481","Beelogica LLC ","2647 Gateway Rd, ","Carlsbad","CA","92009","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321517","Booth Brothers Construction","6901 Eastern Ave , ","Baltimore ","MD","21224","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741784","Canine Corner Inc","301 Taunton Ave, unit 7","Seekonk","MA","02771","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1052074","Ezequiels Healing Tools","700 West Villanova Rd Spc 14, ","Ojai","CA","93023","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1176996","none","412 s Parton st., ","santa ana","CA","92701","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1257246","ACW Transport LLC","1559 300th ST, ","New Liberty","IA","52765","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1302564","Run's Done, LLC","4465 Upland Ct, ","Cumming","GA","30040","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317763","Five Star Disaster Services Inc.","1819 Brevor Dr, ","Walla Walla","WA","99362","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321156","BEE BACK MOTORS","2111 McFarland Ave, ","Rossville","GA","30741","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321254","3TEN8.AI","75 E. Santa Clara St., ","San Jose","CA","95134","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321293","crushm enterprise inc ","12741 Magnolia Ave, ","Riverside","CA","92503","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321465","M&J United Hospitality","930 6th street, ","wells","NV","89835","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161792","K and A Mobile Tax Services","4001 N Shepherd Dr, Ste 215","Houston","TX","77018","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1310274","ONLINE","404 chestnut st , ","Newark ","NJ","07105","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1312669","Fidelity Building Inspectors, LLC","216 Tangerine Place, ","Maitland","FL","32751","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1314920","VORTEX INC","11001 e ponderosa dr, ","spokane","WA","99206","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317654","Custom Works Construction LLC","68 Weston Cir, ","Greenbrier","AR","72058","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1319243","Digitegy","220 2ND AVE S, ","Seattle","WA","98092","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1319258","E320 Consultants","5101 W 43RD ST, ","HOUSTON","TX","77092","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1319378","Bosslashco","18806 Timbers Trace Dr. , ","Humble","TX","77346","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321120","Maya's Janitorial","4818 W Windsor Ave, ","Phoenix","AZ","85035","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1192623","Happy Orchard Daycare LLC","515 Lomax, ","Idaho Falls","ID","83401","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321041","LLW Holdings LLC","2825 Shepard Dr, ","Rockledge","FL","32955","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321130","Nail at Home Mobile","13608 Salk st. , 127","Herndon ","VA","20171","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321192","Coast Observer","7604 Clamshell Ave, ","Ocean Springs","MS","39564","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321331","The Way Truth & Life Empowerment Center","10033 East Colonial Dr, ","orlando","FL","32828","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321339","Texas Concrete Effects Inc","8319 castleford , Unit 350","Houston","TX","77040","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321443","Ortiz Lawn Care ","3624 Akeby Dr, ","Modesto","CA","95356","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321521","The Bakersfield Wing Co Inc","18000 Studebaker Rd, Suite 700","Cerritos","CA","90703","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321528","Root Holdings","1030 Fort Sumter Dr, ","Charleston","SC","29412","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1155931","Blue Wave Home Solutions","5000 Proctor Ave, ","Oakland","CA","94618","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1296384","AAA Empire Home Improvements LLC","190 Horseneck Rd, ","Fairfield","NJ","07004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1313083","AJP Financial Services, Inc","506 Woodside Avenue , ","Wilmington ","DE","19809","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317935","Cal Engineering & Construction, Inc.","8 Pandora, ","Irvine","CA","92604","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321124","JDM Trucking LLC","6238 Wolverine Pl, ","Waldorf","MD","20603","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321220","The Royale Sovereign llc","4711 LJ parkway apt 1304, ","Sugarland","TX","77479","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321274","Yachtcations, Inc.","555 Bradford Ave, 3","Kemah","TX","77565","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321329","Fortin Communications LLC","349 NW 94th Terrace , ","Plantation","FL","33324","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321340","Sierra Spas","Mechem Drive, ","Ruidoso","NM","88345","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321371","A&W WIRELINE SERVICE","234 Enterprise Dr, C","Houma","LA","70360","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321461","Broad Cove Senior Care, Inc.","427C Washington St., ","Norwell","MA","02061","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321554","First air air conditioning","17624 127th drive north, ","Jupiter","FL","33478","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1114349","RKCB - RK Collections Boutique","400 N. Bowman Road Suite 1, www.rkcollections.com","Little Rock","AR","72211","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1132127","PHILMART ORIENTAL AND FASTFOOD LLC ","330 Ohukai  street , ","Kihei","HI","96753","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1138933","The Refinishery","1246 Highland St, ","Holliston","MA","01746","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1217044","Barrier Imports, INC.","108 Neptune Blvd FL2, 2nd Floor","Long Beach","NY","11561","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1312037","Spa Beautify","1748 W Balmoral Ave, 1748 W Balmoral Ave","Chicago","IL","60640","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320510","Gray Digital Corp","16950 N Bay Rd, Apt 2410","Sunny Isles Beach","FL","33160","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321006","DANCE TIME","402 S TEXAS, ","WESLACO","TX","78596","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321261","Plant Based Properties","4312 Via Glorieta, ","Santa Barbara","CA","93110","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321283","Green leaf solutions llc","14851 Happy Ln, ","Orlando","FL","32824","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321298","Medi-Klen LLC","4240 NW 31st Terrace, ","Cape Coral","FL","33993","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321345","ANALYTICAL SOLUTIONS INC","7913 Cherry Tree Dr, ","Fredericksburg","VA","22407","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321358","The Rib Kage King","1255 Polk Crossing, ","Mcdonough","GA","30252","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321397","GOLDGARDEN REALTY CORPARATION","30 Wren Ct., ","Northport","NY","11768","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321488","Yooyt","155 westgate dr, ","Carbondale","PA","18407","","","","","","","","","","","","","","","","","","","","","","","","","",""
